,,mean,mean,std,std
,,acc,loss,acc,loss
yeast,beta05,0.676537075485,0.541402371431,0.0198567255138,0.0228463074155
yeast,beta2,0.677611597123,0.549714637733,0.0218751805412,0.0219958791239
yeast,isotonic,0.683338857833,0.552882969267,0.0222726098669,0.0531561967473
yeast,sigmoid,0.677952188351,0.556602534306,0.0206444175497,0.0211666032298
zoo,None,1.0,0.0308774438063,0.0,0.00865070522342
zoo,beta,1.0,0.000598643763498,0.0,0.000998832315315
zoo,beta05,1.0,0.000170039593197,0.0,0.000286416494691
zoo,beta2,1.0,0.000285842893404,0.0,0.000448206636766
zoo,isotonic,1.0,0.00419335205531,0.0,0.00478514786362
zoo,sigmoid,1.0,3.53415250541e-05,0.0,4.15516195568e-05
